<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.04.01	16:00:00	5738.9600	5774.5070	5738.9600	5774.5070	13674	0	570
2024.04.01	20:00:00	5774.5120	5792.4450	5763.9640	5776.7110	13698	0	570
2024.04.02	00:00:00	5776.7140	5792.4900	5743.9800	5760.5110	13684	0	570
2024.04.02	04:00:00	5760.5140	5811.3660	5760.5140	5811.3660	13692	0	570
2024.04.02	08:00:00	5811.3750	5813.2620	5785.5360	5808.6360	13686	0	570
2024.04.02	12:00:00	5808.6410	5833.1530	5806.9960	5827.1800	13725	0	580
2024.04.02	16:00:00	5827.1900	5861.1870	5823.0190	5857.7870	13686	0	580
2024.04.02	20:00:00	5857.7890	5893.0380	5853.7350	5855.3380	13677	0	580
2024.04.03	00:00:00	5855.3440	5879.6630	5851.1250	5871.0420	13744	0	580
2024.04.03	04:00:00	5871.0510	5876.8250	5770.7780	5772.8520	13666	0	570
2024.04.03	08:00:00	5772.8590	5779.8050	5722.4000	5730.1970	13711	0	570
2024.04.03	12:00:00	5730.2050	5764.6720	5730.2050	5760.3570	13750	0	570
2024.04.03	16:00:00	5760.3610	5781.4400	5754.0900	5764.7370	13678	0	570
2024.04.03	20:00:00	5764.7390	5788.9690	5762.5570	5772.5310	13692	0	570
2024.04.04	00:00:00	5772.5360	5795.5110	5768.1900	5792.4260	13700	0	570
2024.04.04	04:00:00	5792.4260	5840.1110	5782.2350	5840.1110	13735	0	570
2024.04.04	08:00:00	5840.1180	5867.1520	5837.0800	5853.7820	13736	0	580
2024.04.04	12:00:00	5853.7820	5876.2230	5845.4170	5876.2230	13734	0	580
2024.04.04	16:00:00	5876.2270	5899.3770	5876.2270	5879.2650	13759	0	580
2024.04.04	20:00:00	5879.2740	5904.8890	5868.1020	5887.3270	13687	0	580
2024.04.05	00:00:00	5887.3350	5909.1500	5865.7250	5909.1500	13762	0	580
2024.04.05	04:00:00	5909.1520	5933.9390	5855.3850	5867.4440	13743	0	580
2024.04.05	08:00:00	5867.4460	5895.0900	5854.0380	5888.8790	13669	0	580
2024.04.05	12:00:00	5888.8850	5905.6650	5867.2070	5876.1370	13716	0	580
2024.04.05	16:00:00	5876.1450	5915.5650	5855.7970	5906.6190	13721	0	580
2024.04.05	20:00:00	5906.6210	5974.7670	5903.3600	5974.7670	13759	0	590
2024.04.06	00:00:00	5974.7760	5987.8700	5947.9150	5963.2590	13722	0	590
2024.04.06	04:00:00	5963.2670	5968.0480	5882.0510	5884.3870	13735	0	580
2024.04.06	08:00:00	5884.3880	5913.0690	5881.0800	5913.0690	13686	0	580
2024.04.06	12:00:00	5913.0710	5939.8220	5881.2430	5883.5590	13702	0	580
2024.04.06	16:00:00	5883.5630	5883.9680	5852.8630	5856.7970	13698	0	580
2024.04.06	20:00:00	5856.8100	5870.0900	5834.3510	5846.0810	13711	0	580
2024.04.07	00:00:00	5846.0960	5858.3290	5760.4230	5771.4050	13716	0	570
2024.04.07	04:00:00	5771.4070	5815.0310	5771.4070	5805.3200	13729	0	570
2024.04.07	08:00:00	5805.3270	5817.3630	5794.2730	5810.0390	13724	0	570
2024.04.07	12:00:00	5810.0520	5859.2000	5806.5770	5832.4490	13757	0	580
2024.04.07	16:00:00	5832.4510	5848.2170	5820.0100	5829.8460	13751	0	580
2024.04.07	20:00:00	5829.8520	5871.2560	5829.8520	5870.6080	13694	0	580
2024.04.08	00:00:00	5870.6160	5894.1450	5836.8450	5842.4840	13709	0	580
2024.04.08	04:00:00	5842.4850	5853.5570	5819.0260	5823.0920	13758	0	580
2024.04.08	08:00:00	5823.1010	5850.2350	5808.6700	5850.2350	13679	0	580
2024.04.08	12:00:00	5850.2380	5901.4950	5850.0240	5901.4950	13722	0	580
2024.04.08	16:00:00	5901.5050	5909.9930	5881.0850	5905.5290	13743	0	580
2024.04.08	20:00:00	5905.5330	5956.2500	5905.5330	5956.2500	13739	0	590
2024.04.09	00:00:00	5956.2510	5970.5210	5915.8090	5918.2770	13707	0	590
2024.04.09	04:00:00	5918.2850	5928.1590	5899.9730	5910.3910	13720	0	590
2024.04.09	08:00:00	5910.3980	5914.2690	5873.5290	5893.9860	13733	0	580
2024.04.09	12:00:00	5893.9890	5916.7830	5893.9890	5908.2320	13671	0	580
2024.04.09	16:00:00	5908.2340	5916.2250	5848.8850	5854.4230	13717	0	580
2024.04.09	20:00:00	5854.4310	5904.4280	5854.4310	5883.0700	13720	0	580
2024.04.10	00:00:00	5883.0730	5883.3890	5861.1920	5883.3890	13708	0	580
2024.04.10	04:00:00	5883.3890	5897.5350	5857.2300	5879.4320	13730	0	580
2024.04.10	08:00:00	5879.4410	5900.5390	5876.0580	5884.6580	13755	0	580
2024.04.10	12:00:00	5884.6580	5886.1440	5804.8190	5809.3800	13698	0	580
2024.04.10	16:00:00	5809.3830	5810.2220	5753.0030	5757.2620	13698	0	570
2024.04.10	20:00:00	5757.2710	5803.9960	5757.2710	5773.9640	13722	0	570
2024.04.11	00:00:00	5773.9680	5775.8610	5739.3010	5741.0760	13717	0	570
2024.04.11	04:00:00	5741.0860	5746.6930	5692.3040	5700.7330	13721	0	560
2024.04.11	08:00:00	5700.7370	5732.8900	5700.7370	5731.3770	13681	0	570
2024.04.11	12:00:00	5731.3820	5758.9930	5730.9360	5742.1500	13714	0	570
2024.04.11	16:00:00	5742.1570	5779.8810	5737.7780	5769.8470	13681	0	570
2024.04.11	20:00:00	5769.8500	5784.4170	5741.8570	5783.1960	13736	0	570
2024.04.12	00:00:00	5783.1970	5807.5840	5774.6170	5778.1320	13677	0	570
2024.04.12	04:00:00	5778.1390	5785.0480	5757.6570	5782.7440	13708	0	570
2024.04.12	08:00:00	5782.7490	5788.1090	5736.0020	5745.0960	13708	0	570
2024.04.12	12:00:00	5745.1000	5755.0050	5730.1660	5731.4920	13678	0	570
2024.04.12	16:00:00	5731.5000	5733.8400	5702.2300	5728.0580	13726	0	570
2024.04.12	20:00:00	5728.0710	5732.2890	5689.2290	5705.6860	13694	0	560
2024.04.13	00:00:00	5705.7000	5722.7120	5688.1410	5716.3720	13708	0	560
2024.04.13	04:00:00	5716.3730	5756.8490	5713.8790	5728.1890	13730	0	570
