<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.08.28	6009.0630	6023.5210	5908.8290	5925.0710	82416	0	590
2024.08.29	5925.0730	5984.1020	5892.5330	5971.7720	82399	0	580
2024.08.30	5971.7760	5984.5760	5923.4450	5984.1180	82411	0	590
2024.08.31	5984.1240	6041.3500	5902.9390	5983.1900	82265	0	590
2024.09.01	5983.1910	6011.1710	5881.7450	5991.3300	82413	0	580
2024.09.02	5991.3340	6056.7690	5923.7570	5945.7450	82414	0	590
2024.09.03	5945.7500	5949.9430	5823.8070	5890.8650	82340	0	580
2024.09.04	5890.8800	6008.5780	5874.0800	5993.8170	82389	0	580
2024.09.05	5993.8220	6170.6730	5979.7160	6152.9190	82414	0	590
2024.09.06	6152.9220	6190.0700	6116.7120	6123.2850	82461	0	610
2024.09.07	6123.2870	6158.6960	6058.9910	6143.4890	82539	0	600
2024.09.08	6143.5030	6166.8470	6077.4020	6140.9490	82508	0	600
2024.09.09	6140.9560	6176.7820	6101.3340	6123.9790	82365	0	610
2024.09.10	6123.9800	6130.3150	6019.5440	6109.5770	82477	0	600
2024.09.11	6109.5810	6230.1570	6100.6920	6196.8140	82487	0	610
2024.09.12	6196.8270	6208.9820	6142.2480	6185.4380	82534	0	610
2024.09.13	6185.4480	6255.0340	6120.0690	6207.8490	82585	0	610
2024.09.14	6207.8640	6364.4640	6174.7160	6364.4640	82591	0	610
2024.09.15	6364.4640	6461.5410	6330.5570	6437.1320	82611	0	630
2024.09.16	6437.1390	6501.2980	6402.3940	6434.3420	82668	0	640
2024.09.17	6434.3480	6443.6550	6237.6570	6263.0070	82557	0	620
2024.09.18	6263.0080	6325.7330	6247.7880	6303.9240	82633	0	620
2024.09.19	6303.9320	6315.4740	6242.7110	6262.8680	82601	0	620
2024.09.20	6262.8690	6344.3910	6262.8690	6344.3910	82618	0	620
2024.09.21	6344.3910	6471.3640	6338.2650	6426.3450	82685	0	630
